variable_name,display_name,data_type,original_worksheet,n_unique_values,missing_rate_pct,imputation_strategy,encoding_mapping,sample_values
MST,MST,identifier,info,247,0.0,no imputation needed,,009abed1b68345d2960a6f3005bb29d7; 00c6ee891d5540f5a907c141269fbf36; 01132f786e494a45941d1afb85021ed3
性别,性别,categorical,info,2,0.0,no imputation needed,0=女; 1=男,女; 男
出生日期,出生日期,date,info,247,0.0,no imputation needed,,1983-12-17; 1966-08-20; 1992-04-30
身高,身高,float,info,67,0.0,no imputation needed,,153.0; 168.0; 173.0
体重,体重,float,info,123,0.0,no imputation needed,,50.0; 68.0; 64.0
体表面积,体表面积,float,info,101,0.0,no imputation needed,,1.48; 1.81; 1.79
职业或特殊接触史,职业或特殊接触史,categorical,info,67,0.0,"mode (fill=无, n=3)",0=专业技术人员; 1=个体; 2=个体户; 3=个体经营; 4=企业管理; 5=会计; 6=体力劳动; 7=公务员; 8=公司职员; 9=公安; ... (67 total classes),无; 专业技术人员; 物业管理
输血史,输血史,categorical,info,2,0.0,no imputation needed,0=无; 1=有,有; 无
红细胞,红细胞,integer,info,32,0.0,"median (fill=950.0, n=132)",,950.0; 0.0; 1600.0
血小板,血小板,integer,info,22,0.0,"median (fill=200.0, n=141)",,200.0; 0.0; 1200.0
血浆,血浆,integer,info,12,0.0,"median (fill=0.0, n=169)",,0.0; 2000.0; 800.0
生育史_G,生育史_G,integer,info,7,0.0,"median (fill=2.0, n=199)",,2.0; 0.0; 3.0
生育史_P,生育史_P,integer,info,5,0.0,"median (fill=1.0, n=199)",,2.0; 1.0; 0.0
血液病史,血液病史,categorical,info,3,0.0,no imputation needed,0=MDS; 1=其他; 2=无,无; 其他; MDS
血液病史备注,血液病史备注,categorical,info,7,0.0,"mode (fill=地中海贫血, n=239)",0=2014年因双下肢瘀斑在重医儿童医院诊断为过敏性紫癜，紫癜性肾炎，间断服用泼尼松，肾复康治疗; 1=2018年7月19日诊断为MDS给予两次化疗; 2=CML; 3=a型地中海贫血; 4=地中海贫血; 5=多发性骨质破坏; 6=慢性粒细胞白血病/中枢神经细胞白血病,地中海贫血; a型地中海贫血; 2018年7月19日诊断为MDS给予两次化疗
肿瘤病史,肿瘤病史,categorical,info,2,0.0,no imputation needed,0=无; 1=有,无; 有
肿瘤病史备注,肿瘤病史备注,categorical,info,1,0.0,"mode (fill=化疗史, n=244)",0=化疗史,化疗史
其他慢病史,其他慢病史,categorical,info,2,0.0,no imputation needed,0=无; 1=有,有; 无
其他具体慢病史,其他具体慢病史,categorical,info,8,0.0,"mode (fill=其他, n=163)","0=其他; 1=心脏病,其他; 2=糖尿病; 3=糖尿病,其他; 4=肺部疾病,其他; 5=肾病,其他; 6=高血压; 7=高血压,其他","其他; 高血压; 心脏病,其他"
其他慢病史备注,其他慢病史备注,categorical,info,81,0.0,"mode (fill=慢性乙型病毒性肝炎, n=165)",0=1.2002年于当地医院诊断为“慢性乙型病毒性肝炎”；2.2012年2月因“胚胎停育”行清宫术；3.2017年7月顺产; 1=10年前行阑尾炎手术治疗; 2=14岁左右曾患流行性肝炎; 3=16岁在万州第一医院行阑尾手术; 4=1998年做过胆囊切除术，1999年鼻阻隔矫正术; 5=1岁时患“脊髓灰质炎”; 6=20+年前因宫外孕行手术; 7=2002年因子宫内膜癌前病变行“子宫全切除术”; 8=2005年行阑尾切除术; 9=2006年“尺骨、桡骨骨折”行“骨折内固定术”; ... (81 total classes),2011年行输卵管结扎; 慢性乙肝，2017年4月25日行腹腔镜下脾脏切除术; 慢性乙型病毒性肝炎
诊断日期,诊断日期,date,info,221,0.0,"mode (fill=2017-02-17, n=2)",,2017-05-27; 2017-03-15; 2018-08-27
诊断名称,诊断名称,categorical,info,55,0.0,"mode (fill=急性髓系白血病M2, n=2)",0=ALL      中枢神经系统白血病; 1=PH+急性B淋巴细胞白血病; 2=PH+急性淋巴细胞白血病; 3=Ph+ 急性淋巴细胞白血病; 4=Ph+急性B淋巴细胞白血病; 5=Ph+急性淋巴细胞白血病; 6=Ph+急性混合细胞白血病; 7=T淋巴母细胞白血病; 8=pH+急性淋巴细胞白血病; 9=ph+急性淋巴细胞白血病; ... (55 total classes),急性髓系白血病M4; 急性髓系白血病M2; pH+急性淋巴细胞白血病
WBC,WBC,float,info,229,0.0,"median (fill=18.36, n=6)",,1.9; 165.4; 3.76
HGB,HGB,float,info,95,0.0,"median (fill=86.0, n=13)",,53.0; 62.0; 70.0
PLT,PLT,float,info,124,0.0,"median (fill=41.5, n=11)",,148.0; 76.0; 20.0
细胞形态学,细胞形态学,text (free-form),info,240,0.0,"mode (fill=1.骨髓增生活跃+，其中粒系占23%，红系占18.5%，粒红比1:24，2.粒系增生欠佳，原始粒细胞比例增高，占14%，后期细胞各阶段少见，3.红系增生活跃，以中晚幼红细胞增生为主，形态未见异常，4.淋巴细胞占25%，形态正常，5.环片一周见到巨核细胞10个，其中见到产板巨核细胞3个，血小板可见，6.单核细胞异常增生，原始及幼稚单核细胞比例增高，占21%，其胞体大小不一，浆可，A颗粒细小可见，核圆形或扭曲折叠，染色质细，核仁可见。意见：AML-M4, n=7)",skipped (high cardinality (240 unique)),
免疫表型,免疫表型,text (free-form),info,214,0.0,"mode (fill=无, n=26)",skipped (high cardinality (214 unique)),
细胞遗传学,细胞遗传学,text (free-form),info,112,0.0,"mode (fill=正常, n=34)",skipped (high cardinality (112 unique)),
分子遗传学,分子遗传学,text (free-form),info,214,0.0,"mode (fill=正常, n=7)",skipped (high cardinality (214 unique)),
是否合并CNSL,是否合并CNSL,categorical,info,3,0.0,"mode (fill=无, n=2)",0=无; 1=有; 2=未查,无; 未查; 有
移植前鞘注次数,移植前鞘注次数,integer,info,22,0.0,"median (fill=2.0, n=24)",,2.0; 3.0; 1.0
